bikeid,total_trip_duration,total_trip_count
15049,321576,224
15687,480557,249
15803,331865,248
17415,446313,240
18063,351181,266
18754,270910,200
19178,538334,160
21488,439078,248
27705,270756,255
29072,581077,246
29976,295012,252
33887,694192,378
34038,465248,378
34217,446941,354
35285,564842,426
35358,799684,387
38358,559339,416
38570,977090,312
38575,696746,411
38937,773401,390
39206,688111,466
39372,511670,375
39591,644938,305
40124,626069,469
40469,736007,517
40517,1010560,476
40790,977922,541
41209,468804,338
41696,514777,397
41811,550993,351
42105,1045756,433
42108,960851,450
42112,959621,576
42113,792671,350
42115,533304,408
42116,608956,456
42117,763219,434
42120,826800,415
42128,511157,371
42130,573116,408
42133,675268,516
42134,838615,542
42140,806066,602
42141,976524,555
42143,798309,492
42147,571375,372
42150,538156,327
42151,814638,568
42153,763759,542
42154,788449,499
42155,738125,520
42157,823680,440
42159,884470,539
42160,823416,504
42171,721531,450
42174,741497,575
42175,863953,414
42176,616603,412
42177,649208,549
42178,700782,542
42186,751251,512
42188,742236,464
42190,974183,486
42191,814698,564
42194,601511,470
42195,798283,475
42200,687557,437
42205,660022,516
42212,381989,319
42213,775905,471
42219,688712,487
42220,762292,608
42221,615017,447
42230,686679,407
42232,908761,483
42240,694157,432
42242,775463,496
42249,2210008,480
42250,577931,402
42255,597664,467
42259,662852,451
42260,805781,457
42267,709242,467
42270,1018193,403
42271,658428,477
42277,748958,515
42280,897421,512
42281,750066,541
42285,732070,430
42286,770540,535
42293,761684,511
42296,799044,540
42303,471763,310
42305,1141113,566
42307,1030149,469
42308,2094944,570
42311,777152,471
42314,696439,459
42316,479062,394
42319,965041,453
42320,827000,509
42323,649233,476
42331,811088,526
42335,1312576,390
42336,729030,497
42339,748782,567
42342,607985,467
42343,719061,550
42346,871442,518
42350,1042143,492
42352,785743,469
42354,773453,550
42358,787806,367
42361,897542,527
42363,573436,347
42364,737231,566
42365,856044,560
42368,881787,495
42369,600159,451
42370,605402,445
42371,933704,495
42372,887693,410
42376,685513,484
42379,645079,501
42380,745351,485
42382,964544,459
42392,788969,416
42396,736098,515
42410,877260,521
42411,1033645,456
42412,741637,499
42417,667047,474
42419,663331,532
42421,642323,435
42422,801672,542
42423,877140,390
42427,983509,521
42432,889159,435
42434,672884,486
42435,931727,475
42436,686114,448
42438,810655,510
42442,765683,616
42444,710173,509
42446,884745,449
42448,668021,400
42452,1597045,366
42453,741691,509
42455,817677,540
42456,1048846,563
42460,1376446,439
42464,690331,500
42465,593500,352
42470,768988,466
42473,1196712,488
42479,747482,468
42481,2225791,518
42482,828735,514
42485,558908,388
42490,856073,526
42492,887677,459
42494,711986,498
42496,999284,465
42497,774978,482
42525,1692161,521
42526,1001700,464
42527,807278,460
42528,475046,411
42535,881796,487
42538,737504,518
42539,592258,410
42545,923552,616
42546,630316,470
42550,677479,455
42552,723983,509
42569,678506,471
42573,686681,507
42574,1041456,493
42575,649187,519
42578,825503,482
42580,498589,409
42582,462411,357
42585,795652,516
42586,696800,449
42590,1498639,403
42591,959794,566
42593,839490,504
42596,758395,552
42597,909314,561
42609,852784,542
42610,629228,486
42611,349207,224
42617,663134,531
42623,846272,408
42625,1110258,462
42634,747881,509
